"article","stage_text"
"CP-001799-RT","Токарные работы"
"CP-001799-R","Заготовка"
"CP-002751-R","Заготовка"
"CA-000676-Sb","Комплектовка"
"CA-000698-Sb","Сборка"
"CA-004940-SP","Покраска"
"CA-004940-S","Сборка/сварка"
"CP-002215-RG","Гибка"
"CP-002215-R","Заготовка"
"CP-002216-R","Заготовка"
"CP-000440-GP","Покраска"
"КМ0007016","Сборка"
"IH0004636-0","Сборка"
"CA-002090-SP","Покраска"
"CA-002090-S","Сборка/сварка"
"CP-000581-G","Гибка"
"CP-000584-G","Гибка"
"CP-000436-G","Гибка"
"CP-000583-G","Гибка"
"CP-002539-RT","Токарные работы"
"CP-002539-R","Заготовка"
"CP-000582-G","Гибка"
"CA-002080-SP","Покраска"
"CA-002080-S","Сборка/сварка"
"CP-000577-G","Гибка"
"CP-000436-G","Гибка"
"CP-000579-G","Гибка"
"CP-002539-RT","Токарные работы"
"CP-002539-R","Заготовка"
"CP-000578-G","Гибка"
"CP-000580-G","Гибка"
"КМ0004637","Сборка"
"КМ0004094","Комплектовка"
"К0007267","Сборка"
"VP-001111-R","Нарезка ленты"
"IH.КР.0005272","Гибка"
"CP-000383-P","Покраска"
"НФ-00008278","Комплектовка"
